Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
1,0.42648744406378053,0.8478171334431631,0.5495092551284861,0.8235981308411215
2,0.2574582880568465,0.91165568369028,0.3364960899419874,0.8773364485981309
3,0.22399572553067074,0.9194810543657331,0.2815937115767292,0.9088785046728972
4,0.1505915316487655,0.9514003294892917,0.2687373308238582,0.919392523364486
5,0.1515083983908768,0.9462520593080724,1.2879091710130746,0.7219626168224299
6,0.1301318381957501,0.9577841845140033,0.2807362544759412,0.8843457943925234
7,0.11077335022721299,0.9645799011532126,0.28212907043868835,0.9112149532710281
8,0.07041772334380735,0.9744645799011532,0.13649761135402683,0.9567757009345794
9,0.0718979967276288,0.9750823723228995,0.2416544062233417,0.9112149532710281
10,0.07677422029685836,0.9721993410214168,0.3688958290720654,0.9018691588785047
11,0.08375616437683413,0.9715815485996705,0.10691931738004645,0.9684579439252337
12,0.04765469715830792,0.9853789126853377,0.10224684226004599,0.9591121495327103
13,0.0394149222719994,0.9866144975288303,0.08499353372483193,0.9731308411214953
14,0.03389241351171426,0.9897034596375618,0.13401626360332855,0.9649532710280374
15,0.05147302102012164,0.982495881383855,0.147349751302015,0.9544392523364486
16,0.03145679516176566,0.9905271828665568,0.2064204499404007,0.9299065420560748
17,0.030065872377172863,0.9882619439868204,0.3902186653881429,0.8796728971962616
18,0.05074698003365687,0.9806425041186162,0.14634153635075717,0.9591121495327103
